capturedAt,phase,signal,overallQuality,batteryPercent,connection,collecting,attention,focus,engagement,mentalFatigue,relaxation,stress,distraction,interest,excitement,thetaBeta,alphaBeta,betaAlpha,rbp_delta,rbp_theta,rbp_alpha,rbp_beta,rbp_gamma,bp_delta,bp_theta,bp_alpha,bp_beta,bp_gamma,ch_AF3,ch_F7,ch_F3,ch_FC5,ch_T7,ch_P7,ch_O1,ch_O2,ch_P8,ch_T8,ch_FC6,ch_F4,ch_F8,ch_AF4
2026-07-20T17:31:45.721778,text,0.9922,17.0,53.0,connected,True,11.8422,17.3627,12.6739,88.64,47.4458,49.5038,87.8481,14.9743,20.3421,5.830906,1.016999,0.98327,0.0,0.710705,0.123958,0.121885,0.043453,0.0,4.88571429,0.85214286,0.83789286,0.29871429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20T17:31:46.222250,text,0.9922,17.0,53.0,connected,True,18.1026,21.7526,19.1772,73.4383,53.2984,36.5193,81.5561,21.2861,26.2071,3.797657,1.599915,0.625026,0.0,0.56351,0.237401,0.148383,0.050706,0.0,2.91485714,1.228,0.76753571,0.26228571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20T17:31:46.721600,text,0.9922,17.0,53.0,connected,True,17.8723,19.8313,19.1146,67.5978,55.9996,29.7229,81.6168,21.1894,26.0307,3.88253,2.078065,0.481212,0.0,0.529851,0.283595,0.136469,0.050085,0.0,3.02257143,1.61778571,0.7785,0.28571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20T17:31:47.221740,text,0.9922,17.0,53.0,connected,True,13.8948,14.4764,15.6115,65.8241,59.0153,21.5627,85.0107,18.1311,24.0101,5.231887,2.997035,0.333659,0.0,0.537988,0.308181,0.102828,0.051002,0.0,3.24585714,1.85935714,0.62039286,0.30771429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20T17:31:47.721753,text,0.9922,17.0,53.0,connected,True,34.3587,32.1989,36.6103,55.0841,53.0397,37.1435,64.4968,38.4838,42.8555,1.860058,1.563843,0.639445,0.0,0.385611,0.324202,0.20731,0.082877,0.0,1.04821429,0.88128571,0.56353571,0.22528571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20T17:31:48.221572,text,0.9922,17.0,53.0,connected,True,30.8443,27.3106,33.3738,52.0111,55.7191,30.4522,67.6853,35.4245,40.2095,2.160602,2.017726,0.495603,0.0,0.38452,0.359092,0.177968,0.07842,0.0,1.105,1.03192857,0.51142857,0.22535714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20T17:31:48.720969,text,0.9922,17.0,53.0,connected,True,17.2371,17.2503,19.6938,64.4971,57.9155,24.6032,81.0546,22.7537,29.8934,4.303173,2.590611,0.386005,0.0,0.508809,0.306315,0.118239,0.066637,0.0,1.772,1.06678571,0.41178571,0.23207143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20T17:31:49.222091,text,0.9922,17.0,53.0,connected,True,20.9885,20.7901,23.0223,61.061,56.9153,27.3053,77.8176,25.4749,31.1977,3.369266,2.298595,0.435044,0.0,0.473406,0.322969,0.140506,0.063119,0.0,1.5595,1.06392857,0.46285714,0.20792857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20T17:31:49.721964,text,0.9922,17.0,53.0,connected,True,22.4678,24.9776,24.6579,70.5097,52.5155,38.3934,76.2232,27.5902,34.4321,3.135785,1.494721,0.669015,0.0,0.515189,0.245573,0.164292,0.074946,0.0,1.64685714,0.785,0.52517857,0.23957143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20T17:31:50.221762,text,0.9922,17.0,53.0,connected,True,19.9726,21.9793,22.3461,70.6793,54.0614,34.6511,78.4761,25.5249,32.9424,3.622339,1.714699,0.583186,0.0,0.529205,0.250509,0.146094,0.074193,0.0,1.91364286,0.90585714,0.52828571,0.26828571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
